template,climate_zone,under_8000_hours,nontransient_dwelling,0_to_10_percent_oa,10_to_20_percent_oa,20_to_30_percent_oa,30_to_40_percent_oa,40_to_50_percent_oa,50_to_60_percent_oa,60_to_70_percent_oa,70_to_80_percent_oa,greater_than_80_percent_oa,enthalpy_recovery_ratio_design_conditions,enthalpy_recovery_ratio
90.1-2016,ASHRAE 169-2006-0A,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-0A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-0B,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-0B,True,,,,,,,26000.0,12000.0,5000.0,4000.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-1A,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-1A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-1B,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-1B,True,,,,,,,26000.0,12000.0,5000.0,4000.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-2A,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-2A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-2B,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-2B,True,,,,,,,26000.0,12000.0,5000.0,4000.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-3A,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-3A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-3B,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-3B,True,,,,,,,,,,,Cooling,0.5
90.1-2016,ASHRAE 169-2006-3C,False,,,,,,,,,,,Heating,0.5
90.1-2016,ASHRAE 169-2006-3C,True,,,,,,,,,,,Heating,0.5
90.1-2016,ASHRAE 169-2006-4A,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-4A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-4B,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-4B,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-4B,True,,,,,,,,,,,Cooling,0.5
90.1-2016,ASHRAE 169-2006-4B,True,,,,,,,,,,,Heating,0.5
90.1-2016,ASHRAE 169-2006-4C,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-4C,True,,,,,,,,,,,Heating,0.5
90.1-2016,ASHRAE 169-2006-5A,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-5A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-5B,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-5B,True,,,,,,,,,,,Heating,0.5
90.1-2016,ASHRAE 169-2006-5C,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-5C,True,,,,,,,26000.0,12000.0,5000.0,4000.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-6A,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-6A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2006-6B,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-6B,True,,,28000.0,26500.0,11000.0,5500.0,4500.0,3500.0,2500.0,1500.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-7A,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-7A,True,,,4500.0,4000.0,2500.0,1000.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-7B,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-7B,True,,,4500.0,4000.0,2500.0,1000.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-8A,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-8A,True,,,4500.0,4000.0,2500.0,1000.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-8B,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Heating,0.5
90.1-2016,ASHRAE 169-2006-8B,True,,,4500.0,4000.0,2500.0,1000.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-0A,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-0A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-0B,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-0B,True,,,,,,,26000.0,12000.0,5000.0,4000.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-1A,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-1A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-1B,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-1B,True,,,,,,,26000.0,12000.0,5000.0,4000.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-2A,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-2A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-2B,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-2B,True,,,,,,,26000.0,12000.0,5000.0,4000.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-3A,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-3A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-3B,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-3B,True,,,,,,,,,,,Cooling,0.5
90.1-2016,ASHRAE 169-2013-3C,False,,,,,,,,,,,Heating,0.5
90.1-2016,ASHRAE 169-2013-3C,True,,,,,,,,,,,Heating,0.5
90.1-2016,ASHRAE 169-2013-4A,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-4A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-4B,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-4B,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-4B,True,,,,,,,,,,,Cooling,0.5
90.1-2016,ASHRAE 169-2013-4B,True,,,,,,,,,,,Heating,0.5
90.1-2016,ASHRAE 169-2013-4C,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-4C,True,,,,,,,,,,,Heating,0.5
90.1-2016,ASHRAE 169-2013-5A,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-5A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-5B,False,,,2500.0,2000.0,1000.0,500.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-5B,True,,,,,,,,,,,Heating,0.5
90.1-2016,ASHRAE 169-2013-5C,False,,,,19500.0,9000.0,5000.0,4000.0,3000.0,1500.0,120.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-5C,True,,,,,,,26000.0,12000.0,5000.0,4000.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-6A,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-6A,True,,,26000.0,16000.0,5500.0,4500.0,3500.0,2000.0,1000.0,120.0,Cooling,0.5
90.1-2016,ASHRAE 169-2013-6B,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-6B,True,,,28000.0,26500.0,11000.0,5500.0,4500.0,3500.0,2500.0,1500.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-7A,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-7A,True,,,4500.0,4000.0,2500.0,1000.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-7B,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-7B,True,,,4500.0,4000.0,2500.0,1000.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-8A,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-8A,True,,,4500.0,4000.0,2500.0,1000.0,140.0,120.0,100.0,80.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-8B,False,,,200.0,130.0,100.0,80.0,70.0,60.0,50.0,40.0,Heating,0.5
90.1-2016,ASHRAE 169-2013-8B,True,,,4500.0,4000.0,2500.0,1000.0,140.0,120.0,100.0,80.0,Heating,0.5
