template,building_type,space_type,lighting_standard,lighting_per_area,infiltration_per_exterior_area,infiltration_air_changes
90.1-2016,Any,Plenum,,,,
90.1-2016,College,College - Art Classroom,ASHRAE 90.1-2016,0.92,,
90.1-2016,College,College - Classroom,ASHRAE 90.1-2016,0.92,,
90.1-2016,College,College - Conference,ASHRAE 90.1-2016,1.07,,
90.1-2016,College,College - Corridor,ASHRAE 90.1-2016,0.66,,
90.1-2016,College,College - Elevator Shaft,ASHRAE 90.1-2016,,,
90.1-2016,College,College - Entrance Lobby,ASHRAE 90.1-2016,,,
90.1-2016,College,College - Laboratory,ASHRAE 90.1-2016,1.45,,
90.1-2016,College,College - Lecture Hall,ASHRAE 90.1-2016,0.63,,
90.1-2016,College,College - Lounge,ASHRAE 90.1-2016,0.62,,
90.1-2016,College,College - Media Center,ASHRAE 90.1-2016,0.78,,
90.1-2016,College,College - Office,ASHRAE 90.1-2016,0.93,,
90.1-2016,College,College - Restroom,ASHRAE 90.1-2016,0.85,,
90.1-2016,College,College - Stairs,ASHRAE 90.1-2016,0.58,,
90.1-2016,College,College - Storage,ASHRAE 90.1-2016,0.46,,
90.1-2016,College,College - Utility,ASHRAE 90.1-2016,0.43,,
90.1-2016,Courthouse,Courthouse - Break Room,ASHRAE 90.1-2016,0.62,0.0446,
90.1-2016,Courthouse,Courthouse - Cell,ASHRAE 90.1-2016,0.81,0.0446,
90.1-2016,Courthouse,Courthouse - Conference,ASHRAE 90.1-2016,1.07,0.0446,
90.1-2016,Courthouse,Courthouse - Corridor,ASHRAE 90.1-2016,0.66,0.0446,
90.1-2016,Courthouse,Courthouse - Courtroom,ASHRAE 90.1-2016,1.39,0.0446,
90.1-2016,Courthouse,Courthouse - Courtroom Waiting,ASHRAE 90.1-2016,1.0,0.0446,
90.1-2016,Courthouse,Courthouse - Elevator Lobby,ASHRAE 90.1-2016,0.69,0.0446,
90.1-2016,Courthouse,Courthouse - Elevator Shaft,,,0.0446,
90.1-2016,Courthouse,Courthouse - Entrance Lobby,ASHRAE 90.1-2016,1.0,0.0446,
90.1-2016,Courthouse,Courthouse - Judges Chamber,ASHRAE 90.1-2016,0.9,0.0446,
90.1-2016,Courthouse,Courthouse - Jury Assembly,ASHRAE 90.1-2016,0.92,0.0446,
90.1-2016,Courthouse,Courthouse - Jury Deliberation,ASHRAE 90.1-2016,1.07,0.0446,
90.1-2016,Courthouse,Courthouse - Library,ASHRAE 90.1-2016,0.82,0.0446,
90.1-2016,Courthouse,Courthouse - Office,ASHRAE 90.1-2016,0.93,0.0446,
90.1-2016,Courthouse,Courthouse - Parking,ASHRAE 90.1-2016,0.14,0.0446,
90.1-2016,Courthouse,Courthouse - Plenum,,,0.0446,
90.1-2016,Courthouse,Courthouse - Restrooms,ASHRAE 90.1-2016,0.85,0.0446,
90.1-2016,Courthouse,Courthouse - Security Screening,ASHRAE 90.1-2016,1.0,0.0446,
90.1-2016,Courthouse,Courthouse - Service Shaft,,,0.0446,
90.1-2016,Courthouse,Courthouse - Stairs,ASHRAE 90.1-2016,0.58,0.0446,
90.1-2016,Courthouse,Courthouse - Storage,ASHRAE 90.1-2016,0.46,0.0446,
90.1-2016,Courthouse,Courthouse - Utility,ASHRAE 90.1-2016,0.43,0.0446,
90.1-2016,FullServiceRestaurant,Attic,ASHRAE 90.1-2016,0.0,,
90.1-2016,FullServiceRestaurant,Dining,ASHRAE 90.1-2016,0.71,,
90.1-2016,FullServiceRestaurant,Kitchen,ASHRAE 90.1-2016,1.06,,
