ASHRAE JSON file,Table,Cooling type,Subcategory,Heating type,Min cap (Btu/h),Max cap (Btu/h),Metric,JSON field,Original 90.1-2019,PNNL metric,PNNL 2023 value,Region basis,Conv. factor,New SEER2-derived,Conversion note (written to JSON)
ashrae_90_1_2019.heat_pumps.json,heat_pumps,AirCooled,Single Package,All Other,0,64999,SEER,minimum_seasonal_efficiency,13,SEER2,13.4,National (Vermont / North),0.95,14.1,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=13.4 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,AirCooled,Single Package,All Other,0,64999,SEER,minimum_seasonal_efficiency,14,SEER2,13.4,National (Vermont / North),0.95,14.1,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=13.4 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,AirCooled,Single Package,Electric Resistance or None,0,64999,SEER,minimum_seasonal_efficiency,13,SEER2,13.4,National (Vermont / North),0.95,14.1,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=13.4 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,AirCooled,Single Package,Electric Resistance or None,0,64999,SEER,minimum_seasonal_efficiency,14,SEER2,13.4,National (Vermont / North),0.95,14.1,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=13.4 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,AirCooled,Split System,All Other,0,64999,SEER,minimum_seasonal_efficiency,14,SEER2,14.3,National (Vermont / North),0.95,15.1,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=14.3 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,AirCooled,Split System,Electric Resistance or None,0,64999,SEER,minimum_seasonal_efficiency,14,SEER2,14.3,National (Vermont / North),0.95,15.1,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=14.3 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,SmallDuctHighVelocity,Split System,All Other,0,64999,SEER,minimum_seasonal_efficiency,11,SEER2,12,National (Vermont / North),0.95,12.6,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=12.0 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,SmallDuctHighVelocity,Split System,Electric Resistance or None,0,64999,SEER,minimum_seasonal_efficiency,11,SEER2,12,National (Vermont / North),0.95,12.6,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=12.0 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,ThroughWall,Single Package,All Other,0,29999,SEER,minimum_seasonal_efficiency,12,SEER2,11.7,National (Vermont / North),0.95,12.3,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=11.7 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,ThroughWall,Single Package,Electric Resistance or None,0,29999,SEER,minimum_seasonal_efficiency,12,SEER2,11.7,National (Vermont / North),0.95,12.3,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=11.7 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,ThroughWall,Split System,All Other,0,29999,SEER,minimum_seasonal_efficiency,12,SEER2,11.7,National (Vermont / North),0.95,12.3,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=11.7 -- National standard; applicable to Vermont (DOE North region))"
ashrae_90_1_2019.heat_pumps.json,heat_pumps,ThroughWall,Split System,Electric Resistance or None,0,29999,SEER,minimum_seasonal_efficiency,12,SEER2,11.7,National (Vermont / North),0.95,12.3,"SEER back-calculated from PNNL 2023 ASHRAE 90.1, using SEER = SEER2 / 0.95 (SEER2=11.7 -- National standard; applicable to Vermont (DOE North region))"
